"BroadGloss","NarrowGloss","Domain"
"FEMALE PERSON OR MOTHER","MOTHER","Kinship"
"SPOUSE","HUSBAND","Kinship"
"SPOUSE","WIFE","Kinship"
"HUSBAND OR MALE PERSON","HUSBAND","Kinship"
"NEPHEW OR NIECE","NEPHEW","Kinship"
"NEPHEW OR NIECE","NIECE","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (OLDER SISTER'S HUSBAND)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (OF MAN)","Kinship"
"GRANDSON","GRANDSON (SON'S SON)","Kinship"
"GRANDSON","OTHER GRANDSON","Kinship"
"GRANDCHILD","GRANDCHILD (DAUGHTER'S OFFSPRING)","Kinship"
"GRANDCHILD","OTHER GRANDCHILD","Kinship"
"CHILD","SON","Kinship"
"CHILD","DAUGHTER","Kinship"
"CHILD (DESCENDANT)","SON","Kinship"
"CHILD (DESCENDANT)","DAUGHTER","Kinship"
"BOY OR SON","SON","Kinship"
"DAUGHTER OR GIRL","DAUGHTER","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (MOTHER'S OLDER BROTHER)","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)","Kinship"
"MATERNAL UNCLE (MOTHER'S BROTHER)","MATERNAL UNCLE (MOTHER'S OLDER BROTHER)","Kinship"
"MATERNAL UNCLE (MOTHER'S BROTHER)","MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)","Kinship"
"COUSIN OR SISTER-IN-LAW","MALE COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","FEMALE COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","CROSS-COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER)","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S OLDER SISTER)","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (OLDER BROTHER'S WIFE)","Kinship"
"COUSIN OR SISTER-IN-LAW","OTHER SISTER-IN-LAW","Kinship"
"COUSIN","MALE COUSIN","Kinship"
"COUSIN","FEMALE COUSIN","Kinship"
"COUSIN","CROSS-COUSIN","Kinship"
"SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER)","Kinship"
"SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S OLDER SISTER)","Kinship"
"SISTER-IN-LAW","SISTER-IN-LAW (OLDER BROTHER'S WIFE)","Kinship"
"SISTER-IN-LAW","OTHER SISTER-IN-LAW","Kinship"
"SIBLING","OLDER SISTER (OF WOMAN)","Kinship"
"SIBLING","OLDER SISTER (OF MAN)","Kinship"
"SIBLING","OLDER BROTHER (OF WOMAN)","Kinship"
"SIBLING","OLDER BROTHER (OF MAN)","Kinship"
"SIBLING","YOUNGER SISTER (OF WOMAN)","Kinship"
"SIBLING","YOUNGER SISTER (OF MAN)","Kinship"
"SIBLING","YOUNGER BROTHER (OF WOMAN)","Kinship"
"SIBLING","YOUNGER BROTHER (OF MAN)","Kinship"
"OLDER SIBLING","OLDER SISTER (OF WOMAN)","Kinship"
"OLDER SIBLING","OLDER SISTER (OF MAN)","Kinship"
"OLDER SIBLING","OLDER BROTHER (OF WOMAN)","Kinship"
"OLDER SIBLING","OLDER BROTHER (OF MAN)","Kinship"
"YOUNGER SIBLING","YOUNGER SISTER (OF WOMAN)","Kinship"
"YOUNGER SIBLING","YOUNGER SISTER (OF MAN)","Kinship"
"YOUNGER SIBLING","YOUNGER BROTHER (OF WOMAN)","Kinship"
"YOUNGER SIBLING","YOUNGER BROTHER (OF MAN)","Kinship"
"SISTER","OLDER SISTER (OF WOMAN)","Kinship"
"SISTER","OLDER SISTER (OF MAN)","Kinship"
"SISTER","YOUNGER SISTER (OF WOMAN)","Kinship"
"SISTER","YOUNGER SISTER (OF MAN)","Kinship"
"BROTHER","OLDER BROTHER (OF WOMAN)","Kinship"
"BROTHER","OLDER BROTHER (OF MAN)","Kinship"
"BROTHER","YOUNGER BROTHER (OF WOMAN)","Kinship"
"BROTHER","YOUNGER BROTHER (OF MAN)","Kinship"
"OLDER SISTER","OLDER SISTER (OF WOMAN)","Kinship"
"OLDER SISTER","OLDER SISTER (OF MAN)","Kinship"
"YOUNGER SISTER","YOUNGER SISTER (OF WOMAN)","Kinship"
"YOUNGER SISTER","YOUNGER SISTER (OF MAN)","Kinship"
"OLDER BROTHER","OLDER BROTHER (OF WOMAN)","Kinship"
"OLDER BROTHER","OLDER BROTHER (OF MAN)","Kinship"
"YOUNGER BROTHER","YOUNGER BROTHER (OF WOMAN)","Kinship"
"YOUNGER BROTHER","YOUNGER BROTHER (OF MAN)","Kinship"
"SISTER (OF MAN)","OLDER SISTER (OF MAN)","Kinship"
"SISTER (OF MAN)","YOUNGER SISTER (OF MAN)","Kinship"
"SISTER (OF WOMAN)","OLDER SISTER (OF WOMAN)","Kinship"
"SISTER (OF WOMAN)","YOUNGER SISTER (OF WOMAN)","Kinship"
"BROTHER (OF MAN)","OLDER BROTHER (OF MAN)","Kinship"
"BROTHER (OF MAN)","YOUNGER BROTHER (OF MAN)","Kinship"
"BROTHER (OF WOMAN)","OLDER BROTHER (OF WOMAN)","Kinship"
"BROTHER (OF WOMAN)","YOUNGER BROTHER (OF WOMAN)","Kinship"
"GRANDFATHER OR OLDER BROTHER","PATERNAL GRANDFATHER","Kinship"
"GRANDFATHER OR OLDER BROTHER","MATERNAL GRANDFATHER","Kinship"
"GRANDFATHER OR OLDER BROTHER","OLDER BROTHER (OF WOMAN)","Kinship"
"GRANDFATHER OR OLDER BROTHER","OLDER BROTHER (OF MAN)","Kinship"
"GRANDPARENT","PATERNAL GRANDFATHER","Kinship"
"GRANDPARENT","MATERNAL GRANDFATHER","Kinship"
"GRANDPARENT","MATERNAL GRANDMOTHER","Kinship"
"GRANDPARENT","OTHER GRANDMOTHER","Kinship"
"GRANDFATHER","PATERNAL GRANDFATHER","Kinship"
"GRANDFATHER","MATERNAL GRANDFATHER","Kinship"
"GRANDMOTHER","MATERNAL GRANDMOTHER","Kinship"
"GRANDMOTHER","OTHER GRANDMOTHER","Kinship"
"UNCLE OR FATHER-IN-LAW","PATERNAL UNCLE (FATHER'S OLDER BROTHER)","Kinship"
"UNCLE OR FATHER-IN-LAW","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","Kinship"
"UNCLE OR FATHER-IN-LAW","OTHER UNCLE","Kinship"
"UNCLE OR FATHER-IN-LAW","FATHER-IN-LAW (OF MAN)","Kinship"
"UNCLE OR FATHER-IN-LAW","FATHER-IN-LAW (OF WOMAN)","Kinship"
"FATHER-IN-LAW","FATHER-IN-LAW (OF MAN)","Kinship"
"FATHER-IN-LAW","FATHER-IN-LAW (OF WOMAN)","Kinship"
"AUNT OR MOTHER-IN-LAW","PATERNAL AUNT (FATHER'S OLDER SISTER)","Kinship"
"AUNT OR MOTHER-IN-LAW","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"AUNT OR MOTHER-IN-LAW","PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)","Kinship"
"AUNT OR MOTHER-IN-LAW","PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)","Kinship"
"AUNT OR MOTHER-IN-LAW","MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)","Kinship"
"AUNT OR MOTHER-IN-LAW","OTHER MATERNAL AUNT","Kinship"
"AUNT OR MOTHER-IN-LAW","MOTHER-IN-LAW (OF WOMAN)","Kinship"
"AUNT OR MOTHER-IN-LAW","OTHER AUNT OR MOTHER-IN-LAW","Kinship"
"MOTHER-IN-LAW","MOTHER-IN-LAW (OF MAN)","Kinship"
"MOTHER-IN-LAW","MOTHER-IN-LAW (OF WOMAN)","Kinship"
"AUNT OR UNCLE","PATERNAL AUNT (FATHER'S OLDER SISTER)","Kinship"
"AUNT OR UNCLE","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"AUNT OR UNCLE","PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)","Kinship"
"AUNT OR UNCLE","PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)","Kinship"
"AUNT OR UNCLE","MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)","Kinship"
"AUNT OR UNCLE","OTHER MATERNAL AUNT","Kinship"
"AUNT OR UNCLE","PATERNAL UNCLE (FATHER'S OLDER BROTHER)","Kinship"
"AUNT OR UNCLE","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","Kinship"
"AUNT OR UNCLE","OTHER UNCLE","Kinship"
"AUNT","PATERNAL AUNT (FATHER'S OLDER SISTER)","Kinship"
"AUNT","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"AUNT","PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)","Kinship"
"AUNT","PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)","Kinship"
"AUNT","MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)","Kinship"
"AUNT","OTHER MATERNAL AUNT","Kinship"
"MATERNAL AUNT","MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)","Kinship"
"MATERNAL AUNT","OTHER MATERNAL AUNT","Kinship"
"PATERNAL AUNT","PATERNAL AUNT (FATHER'S OLDER SISTER)","Kinship"
"PATERNAL AUNT","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"PATERNAL AUNT","PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)","Kinship"
"PATERNAL AUNT","PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)","Kinship"
"PATERNAL AUNT (FATHER'S SISTER)","PATERNAL AUNT (FATHER'S OLDER SISTER)","Kinship"
"PATERNAL AUNT (FATHER'S SISTER)","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"UNCLE","PATERNAL UNCLE (FATHER'S OLDER BROTHER)","Kinship"
"UNCLE","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","Kinship"
"UNCLE","OTHER UNCLE","Kinship"
"PATERNAL UNCLE (FATHER'S BROTHER)","PATERNAL UNCLE (FATHER'S OLDER BROTHER)","Kinship"
"PATERNAL UNCLE (FATHER'S BROTHER)","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","Kinship"
"PATERNAL UNCLE","PATERNAL UNCLE (FATHER'S OLDER BROTHER)","Kinship"
"PATERNAL UNCLE","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","Kinship"
"PATERNAL UNCLE","OTHER PATERNAL UNCLE","Kinship"
"OTHER PATERNAL UNCLE","OTHER PATERNAL UNCLE","Kinship"
"OTHER UNCLE","OTHER UNCLE","Kinship"
"OTHER PATERNAL AUNT (FATHER'S SISTER)","OTHER PATERNAL AUNT (FATHER'S SISTER)","Kinship"
"OTHER MATERNAL AUNT","OTHER MATERNAL AUNT","Kinship"
"OTHER AUNT OR MOTHER-IN-LAW","OTHER AUNT OR MOTHER-IN-LAW","Kinship"
